bet_id,p_blend,edge,price,market,game_id,k_mod,k_raw,k_eff,k_corr,stake,rank_in_game,cum_risk
2021_20_BUF_KC_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_20_BUF_KC,0.21,0.0,0.0,0.0,0.0,1.0,0.35005779420142885
2021_19_SF_DAL_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_19_SF_DAL,0.21,0.0,0.0,0.0,0.0,3.0,0.35005779420142885
2021_18_KC_DEN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_18_KC_DEN,0.21,0.015107913669064053,0.0,0.0,0.0,4.0,0.35005779420142885
2021_19_SF_DAL_spread,0.5129224652087475,-0.0207843846014819,-110.0,spread,2021_19_SF_DAL,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_18_NE_MIA_spread,0.5178318480995585,-0.0114119263553882,-110.0,spread,2021_18_NE_MIA,0.21,0.0,0.0,0.0,0.0,1.0,0.35005779420142885
2021_19_ARI_LA_spread,0.5272777559621118,0.0066211704731225,-110.0,spread,2021_19_ARI_LA,0.21,0.013904457993557344,0.0,0.0,0.0,1.0,0.35005779420142885
2021_19_LV_CIN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_19_LV_CIN,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
2021_19_LV_CIN_spread,0.5176535061373213,-0.0117523973742047,-110.0,spread,2021_19_LV_CIN,0.21,0.0,0.0,0.0,0.0,2.0,0.35005779420142885
2021_19_LV_CIN_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_19_LV_CIN,0.21,0.015107913669064053,0.0,0.0,0.0,3.0,0.35005779420142885
2021_19_LV_CIN_spread,0.5176535061373213,-0.0117523973742047,-110.0,spread,2021_19_LV_CIN,0.21,0.0,0.0,0.0,0.0,4.0,0.35005779420142885
2021_19_NE_BUF_spread,0.5275779376498799,0.0071942446043162,-110.0,spread,2021_19_NE_BUF,0.21,0.015107913669064053,0.0,0.0,0.0,1.0,0.35005779420142885
